# mur		muf		alpsfact	dynamical_scale	pdf		cross-section
1.0		1.0		1.0		-1		15990		8.042216576269595e-06
0.5		0.5		1.0		-1		15990		8.083130499062239e-06
0.5		0.5		1.0		1		15990		8.112553428573146e-06
0.5		0.5		1.0		2		15990		8.111124845160234e-06
0.5		0.5		1.0		3		15990		8.129527514968218e-06
0.5		0.5		1.0		4		15990		8.083130499067756e-06
0.5		1.0		1.0		-1		15990		8.042216576269595e-06
0.5		1.0		1.0		1		15990		8.08237794510194e-06
0.5		1.0		1.0		2		15990		8.080190796366435e-06
0.5		1.0		1.0		3		15990		8.111124845160234e-06
0.5		1.0		1.0		4		15990		8.042216576276727e-06
0.5		2.0		1.0		-1		15990		7.991297747408531e-06
0.5		2.0		1.0		1		15990		8.041917251072702e-06
0.5		2.0		1.0		2		15990		8.038897156875144e-06
0.5		2.0		1.0		3		15990		8.080190796366435e-06
0.5		2.0		1.0		4		15990		7.991297747419128e-06
1.0		0.5		1.0		-1		15990		8.083130499062239e-06
1.0		0.5		1.0		1		15990		8.112553428573146e-06
1.0		0.5		1.0		2		15990		8.111124845160234e-06
1.0		0.5		1.0		3		15990		8.129527514968218e-06
1.0		0.5		1.0		4		15990		8.083130499067756e-06
1.0		1.0		1.0		1		15990		8.08237794510194e-06
1.0		1.0		1.0		2		15990		8.080190796366435e-06
1.0		1.0		1.0		3		15990		8.111124845160234e-06
1.0		1.0		1.0		4		15990		8.042216576276727e-06
1.0		2.0		1.0		-1		15990		7.991297747408531e-06
1.0		2.0		1.0		1		15990		8.041917251072702e-06
1.0		2.0		1.0		2		15990		8.038897156875144e-06
1.0		2.0		1.0		3		15990		8.080190796366435e-06
1.0		2.0		1.0		4		15990		7.991297747419128e-06
2.0		0.5		1.0		-1		15990		8.083130499062239e-06
2.0		0.5		1.0		1		15990		8.112553428573146e-06
2.0		0.5		1.0		2		15990		8.111124845160234e-06
2.0		0.5		1.0		3		15990		8.129527514968218e-06
2.0		0.5		1.0		4		15990		8.083130499067756e-06
2.0		1.0		1.0		-1		15990		8.042216576269595e-06
2.0		1.0		1.0		1		15990		8.08237794510194e-06
2.0		1.0		1.0		2		15990		8.080190796366435e-06
2.0		1.0		1.0		3		15990		8.111124845160234e-06
2.0		1.0		1.0		4		15990		8.042216576276727e-06
2.0		2.0		1.0		-1		15990		7.991297747408531e-06
2.0		2.0		1.0		1		15990		8.041917251072702e-06
2.0		2.0		1.0		2		15990		8.038897156875144e-06
2.0		2.0		1.0		3		15990		8.080190796366435e-06
2.0		2.0		1.0		4		15990		7.991297747419128e-06
1.0		1.0		1.0		-1		15990		8.042216576269595e-06
1.0		1.0		1.0		-1		15991		7.96598731870098e-06
1.0		1.0		1.0		-1		15992		8.046931618173595e-06

#***************************************************************************
#
# original cross-section: 8.042216576269595e-06
#     scale variation: +0.509% -0.633%
#     central scheme variation: +0.857% - 0%
# PDF variation: +0.955% -0.955%
#
# dynamical scheme # 1 : 8.08238e-06 +0.373% -0.501% # \sum ET
# dynamical scheme # 2 : 8.08019e-06 +0.383% -0.511% # \sum\sqrt{m^2+pt^2}
# dynamical scheme # 3 : 8.11112e-06 +0.227% -0.381% # 0.5 \sum\sqrt{m^2+pt^2}
# dynamical scheme # 4 : 8.04222e-06 +0.509% -0.633% # \sqrt{\hat s}
#***************************************************************************
