# mur		muf		alpsfact	dynamical_scale	pdf		cross-section
1.0		1.0		1.0		-1		15990		0.001472971852628911
0.5		0.5		1.0		-1		15990		0.0014804842805730789
0.5		0.5		1.0		1		15990		0.0013751934470942972
0.5		0.5		1.0		2		15990		0.0014843844209059618
0.5		0.5		1.0		3		15990		0.0014879225162222386
0.5		0.5		1.0		4		15990		0.0014804842805711629
0.5		1.0		1.0		-1		15990		0.001472971852628911
0.5		1.0		1.0		1		15990		0.0014495320664230768
0.5		1.0		1.0		2		15990		0.0014777744905539762
0.5		1.0		1.0		3		15990		0.0014843844209059618
0.5		1.0		1.0		4		15990		0.0014729718526268378
0.5		2.0		1.0		-1		15990		0.00146363367179821
0.5		2.0		1.0		1		15990		0.0014791021559151041
0.5		2.0		1.0		2		15990		0.0014694709294974274
0.5		2.0		1.0		3		15990		0.0014777744905539762
0.5		2.0		1.0		4		15990		0.0014636336717950215
1.0		0.5		1.0		-1		15990		0.0014804842805730789
1.0		0.5		1.0		1		15990		0.0013751934470942972
1.0		0.5		1.0		2		15990		0.0014843844209059618
1.0		0.5		1.0		3		15990		0.0014879225162222386
1.0		0.5		1.0		4		15990		0.0014804842805711629
1.0		1.0		1.0		1		15990		0.0014495320664230768
1.0		1.0		1.0		2		15990		0.0014777744905539762
1.0		1.0		1.0		3		15990		0.0014843844209059618
1.0		1.0		1.0		4		15990		0.0014729718526268378
1.0		2.0		1.0		-1		15990		0.00146363367179821
1.0		2.0		1.0		1		15990		0.0014791021559151041
1.0		2.0		1.0		2		15990		0.0014694709294974274
1.0		2.0		1.0		3		15990		0.0014777744905539762
1.0		2.0		1.0		4		15990		0.0014636336717950215
2.0		0.5		1.0		-1		15990		0.0014804842805730789
2.0		0.5		1.0		1		15990		0.0013751934470942972
2.0		0.5		1.0		2		15990		0.0014843844209059618
2.0		0.5		1.0		3		15990		0.0014879225162222386
2.0		0.5		1.0		4		15990		0.0014804842805711629
2.0		1.0		1.0		-1		15990		0.001472971852628911
2.0		1.0		1.0		1		15990		0.0014495320664230768
2.0		1.0		1.0		2		15990		0.0014777744905539762
2.0		1.0		1.0		3		15990		0.0014843844209059618
2.0		1.0		1.0		4		15990		0.0014729718526268378
2.0		2.0		1.0		-1		15990		0.00146363367179821
2.0		2.0		1.0		1		15990		0.0014791021559151041
2.0		2.0		1.0		2		15990		0.0014694709294974274
2.0		2.0		1.0		3		15990		0.0014777744905539762
2.0		2.0		1.0		4		15990		0.0014636336717950215
1.0		1.0		1.0		-1		15990		0.001472971852628911
1.0		1.0		1.0		-1		15991		0.001458955705282011
1.0		1.0		1.0		-1		15992		0.0014738389125898887

#***************************************************************************
#
# original cross-section: 0.001472971852628911
#     scale variation: +0.51% -0.634%
#     central scheme variation: +0.775% -1.59%
# PDF variation: +0.959% -0.959%
#
# dynamical scheme # 1 : 0.00144953 +2.04% -5.13% # \sum ET
# dynamical scheme # 2 : 0.00147777 +0.447% -0.562% # \sum\sqrt{m^2+pt^2}
# dynamical scheme # 3 : 0.00148438 +0.238% -0.445% # 0.5 \sum\sqrt{m^2+pt^2}
# dynamical scheme # 4 : 0.00147297 +0.51% -0.634% # \sqrt{\hat s}
#***************************************************************************
